code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date
002855,捷荣技术,26.79,True,10.88,11.47,3,2.01,-10.92,-4.6,-5.11,0.0,从未跌破（观测期内）,2026-06-17
001231,农心科技,10.05,True,19.66,21.51,0,-0.63,-11.76,-7.78,-8.61,0.0,从未跌破（观测期内）,2026-06-17
002796,世嘉科技,97.07,True,42.63,45.89,0,-0.89,-17.06,-9.37,-7.1,0.0,从未跌破（观测期内）,2026-06-17
600658,电子城,47.09,True,4.21,4.6,1,1.8,-10.65,-6.7,-8.38,0.0,从未跌破（观测期内）,2026-06-17
002765,蓝黛科技,48.32,True,8.11,8.27,0,-1.91,-12.35,-8.04,-1.91,0.0,从未跌破（观测期内）,2026-06-17
002031,巨轮智能,109.27,True,5.71,6.44,6,26.2,-16.91,-4.62,-11.37,0.0,从未跌破（观测期内）,2026-06-17
002715,登云股份,19.1,True,13.84,15.5,3,3.28,-10.72,-5.82,-10.72,0.0,从未跌破（观测期内）,2026-06-17
601633,长城汽车,1046.23,True,16.82,17.15,4,2.68,-10.36,-5.81,-1.95,0.0,从未跌破（观测期内）,2026-06-17
002649,博彦科技,47.2,True,8.8,9.48,0,-2.51,-11.54,-6.98,-7.2,0.0,从未跌破（观测期内）,2026-06-17
000790,华神科技,23.04,True,3.7,3.88,3,4.79,-10.91,-5.94,-4.68,0.0,从未跌破（观测期内）,2026-06-17
002366,融发核电,113.06,True,6.11,6.51,1,1.46,-14.06,-7.7,-6.17,0.0,从未跌破（观测期内）,2026-06-17
601279,英利汽车,52.17,True,3.29,3.53,0,-1.76,-6.9,-5.11,-6.83,0.0,从未跌破（观测期内）,2026-06-17
002558,巨人网络,457.84,True,24.09,25.4,0,-5.11,-13.82,-9.95,-5.17,0.0,从未跌破（观测期内）,2026-06-17
002006,精工科技,77.14,True,14.84,16.46,6,5.48,-14.01,-6.03,-9.83,0.0,从未跌破（观测期内）,2026-06-17
002544,普天科技,135.62,True,19.93,21.19,0,-2.92,-16.62,-10.95,-5.94,0.0,从未跌破（观测期内）,2026-06-17
601016,节能风电,240.93,True,3.99,4.5,7,8.85,-16.41,-5.27,-11.36,0.0,从未跌破（观测期内）,2026-06-17
002539,云图控股,105.89,True,11.9,12.17,1,0.5,-11.69,-7.8,-2.23,0.0,从未跌破（观测期内）,2026-06-17
000980,众泰汽车,113.96,True,2.26,2.53,9,12.54,-15.58,-1.97,-10.55,0.0,从未跌破（观测期内）,2026-06-17
002517,恺英网络,275.43,True,14.58,15.34,0,-1.87,-10.76,-7.32,-4.96,0.0,从未跌破（观测期内）,2026-06-17
001396,誉帆科技,8.95,True,40.29,42.85,2,3.78,-13.28,-7.59,-5.98,0.0,从未跌破（观测期内）,2026-06-17
002474,榕基软件,35.43,True,6.7,7.12,4,10.71,-14.6,-4.64,-5.96,0.0,从未跌破（观测期内）,2026-06-17
